Checklist Item,Result,Comment
"Make sure to check the CMM list",No," please raise query to PAC .,No,"
"Make sure not to use “Test and Support Equipment” table heading in CMM Pageblocks. Use Tools",No," Fixtures and Test Equipment for Testing and Repair pageblock."
"HCL-44-66-04-00",Yes,""
"RD-AA903818-01",Yes,""
"DESCRIPTION",Yes,""
"Check correct part number in the masthead, document type in header and Logo - Panasonic through out the CMM Book.",Yes,""
"Check the ATA chapter correct through out the document.",No,""
"All procedural steps are properly numbered and subordinated. No tasks or subtasks have the same number.",No,""
"References to paragraphs are correct.",No,""
"Figure numbering is correct and in proper sequence.",No,""
"All Figure/IPL references are correct.",No,""
"Check for ECCN update in all CMM's",No,""
"Add CMM Level in title page (Level 1, 2, 3)",Yes,""
"Change Original Issue to Initial Issue in title page",No,""
"If we have same Old and New part number in materials Table of SB, this will have No effect on CMM.",No,""
"Do you have any drawings with prototype, if any raise clarification.",No,""
"Make sure labels, cushions, thermal pad, Insulation sheets are discarded in Disassembly PGBLK and added as New in Assembly PGBLK. Refer to CMM_Knowhow database for latest updates.",Yes,""
"Don't add Aircraft models in entire CMM, Eg:A350, A380, B747 etc.",No,""
"All cross reference links are active and correct.",Yes,""
"All CMM's must complaint to TDS0063 as per Airbus requirement.",Yes,""
"Headers/Footers contain the correct information and are consistent throughout the CMM Book.",No,""
"Check for Broadband and Wi-Fi in CMM? If available add FCC statements.",Yes,""
"Add addition cage code Irvine address for Bothell and Osaka address (stamping in Title Page)",No,""
"Check Title Page for creation task w.r.t Part Number, Nomenclature, Initial Issue (Rev 0) Date, Cage code, Export compliance statement and ECCN Number. Use Initial Issue instead of Rev 0 on cover page.",Yes,""
"Check Title Page for revision task w.r.t Part Number, Nomenclature, Initial Issue and rev date & Cage code, Export compliance statement and ECCN Number.",No,""
"For Recreate and Revision and Page only Revision task, Rev number (For ex: Rev 1) must be only on title page.",Yes,""
"Make sure on title page Rev One thru Nine should be displayed as single digits (i.e. Rev 1, not Rev 01); Rev Ten+ should be displayed as double-digits (i.e. Rev 10)",No,""
